a,b,L
188.494030,-146.510722,5.500000
188.486895,-146.548538,5.500000
188.479603,-146.585865,5.500000
188.472162,-146.622708,5.500000
188.464577,-146.659074,5.500000
188.456856,-146.694968,5.500000
188.449005,-146.730398,5.500000
188.441029,-146.765369,5.500000
188.432936,-146.799887,5.500000
188.424730,-146.833958,5.500000
188.416418,-146.867588,5.500000
188.408006,-146.900782,5.500000
188.399498,-146.933547,5.500000
188.390900,-146.965887,5.500000
188.382217,-146.997808,5.500000
188.373455,-147.029316,5.500000
188.364618,-147.060415,5.500000
188.355711,-147.091112,5.500000
188.346739,-147.121410,5.500000
188.337707,-147.151315,5.500000
188.328618,-147.180831,5.500000
188.319478,-147.209964,5.500000
188.310290,-147.238718,5.500000
188.301059,-147.267099,5.500000
188.291789,-147.295109,5.500000
188.282483,-147.322756,5.500000
188.273145,-147.350042,5.500000
188.263779,-147.376973,5.500000
188.254388,-147.403553,5.500000
188.244976,-147.429786,5.500000
188.235546,-147.455678,5.500000
188.226101,-147.481232,5.500000
188.216645,-147.506453,5.500000
188.207180,-147.531345,5.500000
188.197710,-147.555911,5.500000
188.188237,-147.580156,5.500000
188.178765,-147.604084,5.500000
188.169296,-147.627697,5.500000
188.159834,-147.651000,5.500000
188.150380,-147.673995,5.500000
188.140939,-147.696686,5.500000
188.131511,-147.719076,5.500000
188.122101,-147.741168,5.500000
188.112711,-147.762964,5.500000
188.103344,-147.784467,5.500000
188.094002,-147.805681,5.500000
188.084687,-147.826606,5.500000
188.075403,-147.847247,5.500000
188.066152,-147.867604,5.500000
188.056937,-147.887680,5.500000
188.047760,-147.907477,5.500000
188.038624,-147.926996,5.500000
188.029531,-147.946240,5.500000
188.020484,-147.965210,5.500000
188.011485,-147.983906,5.500000
188.002538,-148.002332,5.500000
187.993644,-148.020488,5.500000
187.984806,-148.038376,5.500000
187.976026,-148.055997,5.500000
187.967306,-148.073354,5.500000
187.958648,-148.090448,5.500000
187.950055,-148.107282,5.500000
187.941527,-148.123857,5.500000
187.933067,-148.140175,5.500000
187.924676,-148.156239,5.500000
187.916356,-148.172051,5.500000
187.908108,-148.187614,5.500000
187.899933,-148.202929,5.500000
187.891834,-148.218000,5.500000
187.883810,-148.232829,5.500000
187.875862,-148.247419,5.500000
187.867993,-148.261772,5.500000
187.860202,-148.275891,5.500000
187.852490,-148.289780,5.500000
187.844857,-148.303441,5.500000
187.837305,-148.316878,5.500000
187.829833,-148.330093,5.500000
187.822442,-148.343090,5.500000
187.815131,-148.355873,5.500000
187.807902,-148.368444,5.500000
187.800753,-148.380806,5.500000
187.793685,-148.392964,5.500000
187.786698,-148.404921,5.500000
187.779792,-148.416679,5.500000
187.772966,-148.428241,5.500000
187.766220,-148.439612,5.500000
187.759554,-148.450794,5.500000
187.752968,-148.461790,5.500000
187.746462,-148.472603,5.500000
187.740035,-148.483236,5.500000
187.733686,-148.493692,5.500000
187.727416,-148.503974,5.500000
187.721224,-148.514085,5.500000
187.715109,-148.524028,5.500000
187.709070,-148.533807,5.500000
187.703108,-148.543423,5.500000
187.697221,-148.552880,5.500000
187.691409,-148.562181,5.500000
187.685671,-148.571328,5.500000
187.680007,-148.580325,5.500000
187.674415,-148.589175,5.500000
187.668894,-148.597879,5.500000
187.663445,-148.606442,5.500000
187.658066,-148.614865,5.500000
187.652755,-148.623152,5.500000
187.647514,-148.631304,5.500000
187.642339,-148.639326,5.500000
187.637231,-148.647220,5.500000
187.632188,-148.654987,5.500000
187.627210,-148.662632,5.500000
187.622295,-148.670156,5.500000
187.617442,-148.677562,5.500000
187.612651,-148.684853,5.500000
187.607920,-148.692031,5.500000
187.603249,-148.699099,5.500000
187.598637,-148.706058,5.500000
187.594081,-148.712912,5.500000
187.589583,-148.719662,5.500000
187.585140,-148.726311,5.500000
187.580752,-148.732861,5.500000
187.576417,-148.739314,5.500000
187.572136,-148.745672,5.500000
187.567906,-148.751937,5.500000
187.563728,-148.758111,5.500000
187.559600,-148.764196,5.500000
187.555521,-148.770194,5.500000
187.551490,-148.776107,5.500000
187.547507,-148.781936,5.500000
187.543571,-148.787684,5.500000
187.539681,-148.793352,5.500000
187.535837,-148.798942,5.500000
187.532036,-148.804455,5.500000
187.528279,-148.809894,5.500000
187.524565,-148.815259,5.500000
187.520893,-148.820552,5.500000
187.517262,-148.825776,5.500000
187.513672,-148.830931,5.500000
187.510121,-148.836018,5.500000
187.506609,-148.841041,5.500000
187.503136,-148.845998,5.500000
187.499699,-148.850894,5.500000
187.496300,-148.855727,5.500000
187.492936,-148.860501,5.500000
187.489608,-148.865216,5.500000
187.486315,-148.869873,5.500000
187.483055,-148.874473,5.500000
187.479830,-148.879019,5.500000
187.476637,-148.883509,5.500000
187.473477,-148.887947,5.500000
187.470349,-148.892332,5.500000
187.467252,-148.896666,5.500000
187.464186,-148.900949,5.500000
187.461151,-148.905183,5.500000
187.458147,-148.909368,5.500000
187.455172,-148.913505,5.500000
187.452226,-148.917595,5.500000
187.449310,-148.921638,5.500000
187.446422,-148.925635,5.500000
187.443563,-148.929587,5.500000
187.430640,-148.923600,5.500000
187.412095,-148.912213,5.500000
187.393101,-148.900549,5.500000
187.373658,-148.888610,5.500000
187.353768,-148.876393,5.500000
187.333428,-148.863900,5.500000
187.312636,-148.851127,5.500000
187.291388,-148.838073,5.500000
187.269677,-148.824734,5.500000
187.247497,-148.811105,5.500000
187.224839,-148.797180,5.500000
187.201691,-148.782954,5.500000
187.178041,-148.768417,5.500000
187.153876,-148.753561,5.500000
187.129180,-148.738378,5.500000
187.103935,-148.722855,5.500000
187.078122,-148.706981,5.500000
187.051721,-148.690743,5.500000
187.024708,-148.674127,5.500000
186.997059,-148.657117,5.500000
186.968747,-148.639697,5.500000
186.939744,-148.621850,5.500000
186.910019,-148.603556,5.500000
186.879542,-148.584797,5.500000
186.848278,-148.565550,5.500000
186.816191,-148.545795,5.500000
186.783247,-148.525509,5.500000
186.749408,-148.504669,5.500000
186.714639,-148.483253,5.500000
186.678904,-148.461239,5.500000
186.642167,-148.438605,5.500000
186.604393,-148.415329,5.500000
186.565548,-148.391389,5.500000
186.525595,-148.366763,5.500000
186.484500,-148.341430,5.500000
186.442228,-148.315367,5.500000
186.398742,-148.288552,5.500000
186.354009,-148.260964,5.500000
186.307992,-148.232580,5.500000
186.260657,-148.203379,5.500000
186.211967,-148.173338,5.500000
186.161888,-148.142435,5.500000
186.110384,-148.110649,5.500000
186.057419,-148.077955,5.500000
186.002957,-148.044334,5.500000
185.946963,-148.009760,5.500000
185.889399,-147.974213,5.500000
185.830230,-147.937669,5.500000
185.769419,-147.900105,5.500000
185.706928,-147.861498,5.500000
185.642722,-147.821824,5.500000
185.576760,-147.781060,5.500000
185.509001,-147.739179,5.500000
185.439403,-147.696155,5.500000
185.367922,-147.651959,5.500000
185.294508,-147.606562,5.500000
185.219114,-147.559932,5.500000
185.141686,-147.512038,5.500000
185.062172,-147.462844,5.500000
184.980513,-147.412316,5.500000
184.896651,-147.360417,5.500000
184.810524,-147.307107,5.500000
184.722068,-147.252347,5.500000
184.631216,-147.196095,5.500000
184.537900,-147.138309,5.500000
184.442049,-147.078942,5.500000
184.343585,-147.017948,5.500000
184.242431,-146.955278,5.500000
184.138504,-146.890880,5.500000
184.031719,-146.824700,5.500000
183.921987,-146.756684,5.500000
183.809222,-146.686777,5.500000
183.693335,-146.614924,5.500000
183.574238,-146.541069,5.500000
183.451842,-146.465159,5.500000
183.326060,-146.387136,5.500000
183.196802,-146.306947,5.500000
183.063980,-146.224535,5.500000
182.927507,-146.139846,5.500000
182.787293,-146.052824,5.500000
182.643244,-145.963409,5.500000
182.495264,-145.871543,5.500000
182.343255,-145.777162,5.500000
182.187111,-145.680201,5.500000
182.026728,-145.580593,5.500000
181.861996,-145.478270,5.500000
181.692803,-145.373161,5.500000
181.519035,-145.265194,5.500000
181.340574,-145.154295,5.500000
181.157301,-145.040389,5.500000
180.969094,-144.923398,5.500000
180.775830,-144.803245,5.500000
180.577381,-144.679850,5.500000
180.373617,-144.553129,5.500000
180.164403,-144.422997,5.500000
179.949596,-144.289364,5.500000
179.729050,-144.152137,5.500000
179.502617,-144.011223,5.500000
179.270151,-143.866530,5.500000
179.031514,-143.717969,5.500000
178.786570,-143.565455,5.500000
178.535190,-143.408907,5.500000
178.277254,-143.248249,5.500000
178.012651,-143.083409,5.500000
177.741279,-142.914324,5.500000
177.463047,-142.740936,5.500000
177.177873,-142.563192,5.500000
176.885685,-142.381048,5.500000
176.586419,-142.194462,5.500000
176.280023,-142.003401,5.500000
175.966453,-141.807837,5.500000
175.645678,-141.607750,5.500000
175.317680,-141.403128,5.500000
174.982452,-141.193968,5.500000
174.640002,-140.980272,5.500000
174.290343,-140.762049,5.500000
173.933494,-140.539311,5.500000
173.569480,-140.312074,5.500000
173.198331,-140.080355,5.500000
172.820073,-139.844171,5.500000
172.434725,-139.603535,5.500000
172.042296,-139.358451,5.500000
171.642789,-139.108921,5.500000
171.236197,-138.854942,5.500000
170.822515,-138.596509,5.500000
