"a","b","L"
106,-86,5.5
116,-96,5.5
126,-106,5.5
-14,-16,5.5
-14,4,5.5
-14,-6,5.5
16,-16,5.5
16,-26,5.5
16,-36,5.5
16,4,5.5
16,-6,5.5
-24,4,5.5
26,-16,5.5
26,-26,5.5
26,-36,5.5
26,4,5.5
26,-46,5.5
26,-6,5.5
36,-16,5.5
36,-26,5.5
36,-36,5.5
36,4,5.5
36,-46,5.5
36,-6,5.5
-4,-16,5.5
-4,-26,5.5
-4,4,5.5
-4,-6,5.5
46,-16,5.5
46,-26,5.5
46,-36,5.5
46,-46,5.5
46,-56,5.5
56,-36,5.5
56,-46,5.5
56,-56,5.5
56,-66,5.5
6,-16,5.5
6,-26,5.5
6,-36,5.5
6,4,5.5
6,-6,5.5
66,-46,5.5
66,-56,5.5
66,-66,5.5
76,-56,5.5
76,-66,5.5
76,-76,5.5
86,-66,5.5
86,-76,5.5
96,-76,5.5
96,-86,5.5
104,-109,15.5
104,-79,15.5
104,-89,15.5
104,-99,15.5
114,-109,15.5
114,-89,15.5
114,-99,15.5
124,-109,15.5
124,-119,15.5
124,-99,15.5
134,-119,15.5
14,1,15.5
14,11,15.5
14,-19,15.5
14,21,15.5
14,-29,15.5
14,-39,15.5
14,-49,15.5
14,-9,15.5
-16,1,15.5
-16,11,15.5
-16,-19,15.5
-16,21,15.5
-16,-29,15.5
-16,-39,15.5
-16,-9,15.5
24,1,15.5
24,11,15.5
24,-19,15.5
24,21,15.5
24,-29,15.5
24,-39,15.5
24,-49,15.5
24,-59,15.5
24,-9,15.5
-26,1,15.5
-26,11,15.5
-26,-19,15.5
-26,21,15.5
-26,-29,15.5
-26,-9,15.5
34,1,15.5
34,11,15.5
34,-19,15.5
34,21,15.5
34,-29,15.5
34,-39,15.5
34,-49,15.5
34,-59,15.5
34,-9,15.5
-36,1,15.5
-36,11,15.5
-36,-19,15.5
-36,21,15.5
-36,-9,15.5
4,1,15.5
4,11,15.5
4,-19,15.5
4,21,15.5
4,-29,15.5
4,-39,15.5
44,1,15.5
44,11,15.5
44,-19,15.5
44,21,15.5
44,-29,15.5
44,-39,15.5
44,-49,15.5
44,-59,15.5
44,-69,15.5
4,-49,15.5
44,-9,15.5
-46,1,15.5
-46,11,15.5
-46,-19,15.5
-46,21,15.5
-46,-9,15.5
4,-9,15.5
54,1,15.5
54,11,15.5
54,-19,15.5
54,21,15.5
54,-29,15.5
54,-39,15.5
54,-49,15.5
54,-59,15.5
54,-69,15.5
54,-79,15.5
