"","Abidji","Agarabi","Casiguran Agta","Aguacateco","Amarakaeri","Ampeeli","Amuzgo","Angaatiha","Apinaye","Arabela","Bahinemo","Bauzi","Berik","Bete","Bhili","Buglere","Cakchiquel","Ucayali Campa","Camsa","Candoshi","Cavine{–}a","Cayapa","Ch{‡}cobo","Chavacano","Chayahuita","Chinanteco","Chiquitano","Chumburu","Cof{‡}n","Colorado","Eastern Cree","Culina","Didinga","Djuka","Dyimini","Ejagam","Ese Ejja","Carib","Guahibo","Guambiano","Guarijio","Ng{Š}bere","Gunu","Halbi","Huasteco","Huave","Iduna","Ifugao","Sepik Iwam","Jicaque","Kalam","Kamano-Kafe","Karaja","Kemtuik","Kokoni","Konkomba","Kriol","Kuku-Yalanji","Long-haired Kuna","Kwerba","Lele","Mampruli","Maring","Martu Wangka","Mawchi","Mayoruna","Mazahua","Mazateco","Menye","Micmac","Mikasuki","Mixteco","Mundu","M{œ}ra Pirah{‹}","Murle","Murinbata","Nafaanra","N{‡}huatl","Ocaina","Papago","Patep","Paya","Podopa","Saramaccan","Seri","Shipibo","Sirion{—}","Slave","Sursurunga","Tabla","Tacana","Central Tarahumara","W. Tarahumara","Tboli","Teribe","Ticuna","Tifal","Tlapaneco","Tucano","Vagla","Vasavi","Waorani","Walpiri","Wobe","Yacouba","Yakan","Yaminahua","Yucuna","Yupik","Zapoteco"
"Huasteco",0.5125,0.5875,NA,0.78125,NA,0.60625,0.6,NA,NA,0.68125,NA,NA,NA,NA,0.725,0.725,NA,NA,NA,NA,NA,NA,NA,NA,0.721875,NA,NA,NA,0.8,NA,0.631782945736434,NA,NA,0.66875,0.55625,NA,NA,0.6,0.6125,0.61875,NA,0.6,NA,0.603125,1,NA,NA,0.51875,NA,NA,0.625,0.665625,NA,NA,0.6875,NA,NA,NA,0.715625,NA,NA,0.534375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821875,NA,NA,0.79375,0.484375,NA,NA,0.840625,NA,0.71875,NA,NA,NA,NA,NA,NA,0.590625,NA,NA,NA,NA,0.753125,0.6875,0.55625,0.7875,NA,0.803125,NA,NA,0.734375,NA,0.621875,NA,NA,NA,NA,0.81875,0.85625,0.796875
"Huave",NA,NA,0.50625,NA,0.628125,NA,NA,0.6375,NA,NA,0.590625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6625,0.7125,NA,NA,NA,NA,NA,0.528125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5625,NA,0.7,NA,NA,0.8125,NA,NA,NA,NA,NA,NA,NA,0.803125,NA,NA,NA,NA,NA,0.684375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iduna",NA,NA,NA,NA,NA,NA,NA,NA,0.71875,NA,NA,0.75625,0.775,NA,NA,NA,NA,NA,NA,0.615625,NA,0.76875,NA,NA,NA,NA,NA,NA,NA,0.815625,NA,NA,NA,NA,NA,NA,0.71875,NA,NA,NA,0.753125,NA,0.521875,NA,NA,NA,1,NA,0.74375,NA,NA,NA,NA,0.821875,NA,NA,NA,0.715625,NA,NA,NA,NA,0.559375,0.515625,NA,NA,NA,NA,0.7375,NA,NA,NA,0.503125,NA,NA,NA,NA,NA,NA,0.6,NA,0.765625,0.671875,NA,0.696875,0.66875,0.746875,NA,0.778125,0.7625,0.640625,0.68125,NA,NA,NA,NA,0.55,NA,0.721875,0.553125,NA,NA,NA,NA,NA,NA,0.7875,NA,NA,NA
"Ifugao",0.5375,0.715625,NA,0.565625,NA,0.678125,0.44375,NA,NA,0.634375,NA,NA,NA,NA,0.56875,0.471875,NA,NA,NA,NA,NA,NA,NA,NA,0.509375,NA,NA,NA,0.55625,NA,0.558139534883721,NA,NA,0.61875,0.66875,NA,NA,0.396875,0.590625,0.665625,NA,0.634375,NA,0.61875,0.51875,NA,NA,1,NA,NA,0.703125,0.684375,NA,NA,0.646875,NA,NA,NA,0.5125,NA,NA,0.715625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484375,NA,NA,0.44375,0.678125,NA,NA,0.540625,NA,0.6375,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,0.559375,0.5125,0.64375,0.6125,NA,0.4625,NA,NA,0.55625,NA,0.71875,NA,NA,NA,NA,0.56875,0.553125,0.45
"Sepik Iwam",NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,0.815625,0.825,NA,NA,NA,NA,NA,NA,0.659375,NA,0.728125,NA,NA,NA,NA,NA,NA,NA,0.778125,NA,NA,NA,NA,NA,NA,0.715625,NA,NA,NA,0.8375,NA,0.64375,NA,NA,NA,0.74375,NA,1,NA,NA,NA,NA,0.7875,NA,NA,NA,0.7,NA,NA,NA,NA,0.671875,0.734375,NA,NA,NA,NA,0.80625,NA,NA,NA,0.56875,NA,NA,NA,NA,NA,NA,0.64375,NA,0.74375,0.76875,NA,0.778125,0.65,0.821875,NA,0.853125,0.79375,0.678125,0.778125,NA,NA,NA,NA,0.590625,NA,0.8375,0.584375,NA,NA,NA,NA,NA,NA,0.853125,NA,NA,NA
"Jicaque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53125,NA,NA,0.803125,NA,0.684375,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.653125,NA,NA,0.659375,NA,NA,NA,NA,0.621875,NA,NA,NA,NA,0.70625,NA,NA,NA,NA,0.615625,NA,NA,0.69375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740625,NA,NA,NA,NA,NA,NA,NA,NA
"Kalam",0.546875,0.703125,NA,0.715625,NA,0.753125,0.571875,NA,NA,0.68125,NA,NA,NA,NA,0.68125,0.771875,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,0.696875,NA,0.635658914728682,NA,NA,0.809375,0.696875,NA,NA,0.50625,0.759375,0.796875,NA,0.759375,NA,0.5875,0.625,NA,NA,0.703125,NA,NA,1,0.865625,NA,NA,0.80625,NA,NA,NA,0.565625,NA,NA,0.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6125,NA,NA,0.571875,0.66875,NA,NA,0.684375,NA,0.815625,NA,NA,NA,NA,NA,NA,0.671875,NA,NA,NA,NA,0.6125,0.728125,0.7875,0.653125,NA,0.559375,NA,NA,0.759375,NA,0.759375,NA,NA,NA,NA,0.696875,0.640625,0.675
"Kamano-Kafe",0.590625,0.778125,NA,0.759375,NA,0.78125,0.615625,NA,NA,0.684375,NA,NA,NA,NA,0.690625,0.778125,NA,NA,NA,NA,NA,NA,NA,NA,0.584375,NA,NA,NA,0.721875,NA,0.612403100775194,NA,NA,0.821875,0.7125,NA,NA,0.56875,0.7375,0.83125,NA,0.74375,NA,0.6,0.665625,NA,NA,0.684375,NA,NA,0.865625,1,NA,NA,0.8375,NA,NA,NA,0.6125,NA,NA,0.63125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64375,NA,NA,0.5625,0.609375,NA,NA,0.734375,NA,0.865625,NA,NA,NA,NA,NA,NA,0.7125,NA,NA,NA,NA,0.640625,0.7375,0.7875,0.696875,NA,0.628125,NA,NA,0.790625,NA,0.7625,NA,NA,NA,NA,0.753125,0.675,0.690625
"Karaja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465625,NA,NA,0.696875,NA,0.678125,NA,NA,NA,NA,NA,NA,NA,NA,0.56875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653125,NA,NA,1,NA,NA,0.575,NA,NA,NA,NA,0.715625,NA,NA,NA,NA,0.7125,NA,NA,NA,NA,0.553125,NA,NA,0.640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.628125,NA,NA,NA,NA,NA,NA,NA,NA
"Kemtuik",NA,NA,NA,NA,NA,NA,NA,NA,0.653125,NA,NA,0.7875,0.853125,NA,NA,NA,NA,NA,NA,0.65,NA,0.725,NA,NA,NA,NA,NA,NA,NA,0.803125,NA,NA,NA,NA,NA,NA,0.678125,NA,NA,NA,0.75,NA,0.6125,NA,NA,NA,0.821875,NA,0.7875,NA,NA,NA,NA,1,NA,NA,NA,0.7125,NA,NA,NA,NA,0.6125,0.69375,NA,NA,NA,NA,0.709375,NA,NA,NA,0.509375,NA,NA,NA,NA,NA,NA,0.553125,NA,0.73125,0.7375,NA,0.653125,0.615625,0.775,NA,0.78125,0.771875,0.578125,0.653125,NA,NA,NA,NA,0.571875,NA,0.709375,0.696875,NA,NA,NA,NA,NA,NA,0.81875,NA,NA,NA
