"","Abidji","Agarabi","Casiguran Agta","Aguacateco","Amarakaeri","Ampeeli","Amuzgo","Angaatiha","Apinaye","Arabela","Bahinemo","Bauzi","Berik","Bete","Bhili","Buglere","Cakchiquel","Ucayali Campa","Camsa","Candoshi","Cavine{–}a","Cayapa","Ch{‡}cobo","Chavacano","Chayahuita","Chinanteco","Chiquitano","Chumburu","Cof{‡}n","Colorado","Eastern Cree","Culina","Didinga","Djuka","Dyimini","Ejagam","Ese Ejja","Carib","Guahibo","Guambiano","Guarijio","Ng{Š}bere","Gunu","Halbi","Huasteco","Huave","Iduna","Ifugao","Sepik Iwam","Jicaque","Kalam","Kamano-Kafe","Karaja","Kemtuik","Kokoni","Konkomba","Kriol","Kuku-Yalanji","Long-haired Kuna","Kwerba","Lele","Mampruli","Maring","Martu Wangka","Mawchi","Mayoruna","Mazahua","Mazateco","Menye","Micmac","Mikasuki","Mixteco","Mundu","M{œ}ra Pirah{‹}","Murle","Murinbata","Nafaanra","N{‡}huatl","Ocaina","Papago","Patep","Paya","Podopa","Saramaccan","Seri","Shipibo","Sirion{—}","Slave","Sursurunga","Tabla","Tacana","Central Tarahumara","W. Tarahumara","Tboli","Teribe","Ticuna","Tifal","Tlapaneco","Tucano","Vagla","Vasavi","Waorani","Walpiri","Wobe","Yacouba","Yakan","Yaminahua","Yucuna","Yupik","Zapoteco"
"Mawchi",NA,NA,0.63125,NA,0.7375,NA,NA,0.66875,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6625,0.615625,NA,NA,NA,NA,NA,0.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.540625,NA,NA,0.496875,NA,NA,NA,NA,NA,NA,NA,0.60625,NA,NA,NA,NA,NA,0.759375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mayoruna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51875,NA,NA,0.75,NA,0.825,NA,NA,NA,NA,NA,NA,NA,NA,0.56875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70625,NA,NA,0.7125,NA,NA,0.678125,NA,NA,NA,NA,0.73125,NA,NA,NA,NA,1,NA,NA,NA,NA,0.5625,NA,NA,0.80625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753125,NA,NA,NA,NA,NA,NA,NA,NA
"Mazahua",NA,NA,0.48125,NA,0.590625,NA,NA,0.596875,NA,NA,0.45625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653125,0.621875,NA,NA,NA,NA,NA,0.49375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.540625,NA,1,NA,NA,0.64375,NA,NA,NA,NA,NA,NA,NA,0.640625,NA,NA,NA,NA,NA,0.578125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazateco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68125,NA,0.709375,NA,NA,NA,NA,0.73125,NA,NA,NA,0.4875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.590625,NA,NA,NA,NA
"Menye",NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,0.8125,0.75,NA,NA,NA,NA,NA,NA,0.684375,NA,0.78125,NA,NA,NA,NA,NA,NA,NA,0.78125,NA,NA,NA,NA,NA,NA,0.775,NA,NA,NA,0.8125,NA,0.646875,NA,NA,NA,0.7375,NA,0.80625,NA,NA,NA,NA,0.709375,NA,NA,NA,0.64375,NA,NA,NA,NA,0.671875,0.590625,NA,NA,NA,NA,1,NA,NA,NA,0.515625,NA,NA,NA,NA,NA,NA,0.603125,NA,0.75625,0.73125,NA,0.775,0.690625,0.7875,NA,0.8375,0.790625,0.68125,0.78125,NA,NA,NA,NA,0.515625,NA,0.8125,0.625,NA,NA,NA,NA,NA,NA,0.79375,NA,NA,NA
"Micmac",NA,NA,0.434375,NA,0.55,NA,NA,0.575,NA,NA,0.534375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578125,0.6125,NA,NA,NA,NA,NA,0.484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496875,NA,0.64375,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.690625,NA,NA,NA,NA,NA,0.609375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mikasuki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328125,NA,NA,0.696875,NA,0.525,NA,NA,NA,NA,NA,NA,NA,NA,0.521875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615625,NA,NA,0.553125,NA,NA,0.44375,NA,NA,NA,NA,0.45625,NA,NA,NA,NA,0.5625,NA,NA,NA,NA,1,NA,NA,0.515625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5375,NA,NA,NA,NA,NA,NA,NA,NA
"Mixteco",0.46875,0.55,NA,0.7625,NA,0.584375,0.565625,NA,NA,0.68125,NA,NA,NA,NA,0.746875,0.753125,NA,NA,NA,NA,NA,NA,NA,NA,0.7125,NA,NA,NA,0.80625,NA,0.682170542635659,NA,NA,0.715625,0.509375,NA,NA,0.571875,0.621875,0.58125,NA,0.58125,NA,0.5875,0.821875,NA,NA,0.484375,NA,NA,0.6125,0.64375,NA,NA,0.69375,NA,NA,NA,0.734375,NA,NA,0.484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.784375,0.4625,NA,NA,0.825,NA,0.7,NA,NA,NA,NA,NA,NA,0.559375,NA,NA,NA,NA,0.678125,0.709375,0.571875,0.734375,NA,0.853125,NA,NA,0.715625,NA,0.590625,NA,NA,NA,NA,0.784375,0.75625,0.828125
"Mundu",NA,NA,NA,NA,NA,NA,NA,NA,0.5625,NA,NA,0.540625,0.59375,NA,NA,NA,NA,NA,NA,0.48125,NA,0.521875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.4875,NA,NA,NA,0.509375,NA,0.478125,NA,NA,NA,0.503125,NA,0.56875,NA,NA,NA,NA,0.509375,NA,NA,NA,0.575,NA,NA,NA,NA,0.51875,0.65,NA,NA,NA,NA,0.515625,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.440625,NA,0.48125,0.56875,NA,0.465625,0.403125,0.525,NA,0.534375,0.515625,0.453125,0.503125,NA,NA,NA,NA,0.640625,NA,0.53125,0.634375,NA,NA,NA,NA,NA,NA,0.578125,NA,NA,NA
"M{œ}ra Pirah{‹}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725,NA,NA,0.6375,NA,0.834375,NA,NA,NA,NA,NA,NA,NA,NA,0.51875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69375,NA,NA,0.640625,NA,NA,0.65625,NA,NA,NA,NA,0.715625,NA,NA,NA,NA,0.80625,NA,NA,NA,NA,0.515625,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.784375,NA,NA,NA,NA,NA,NA,NA,NA
"Murle",0.43125,0.528125,NA,0.68125,NA,0.5625,0.503125,NA,NA,0.66875,NA,NA,NA,NA,0.709375,0.7,NA,NA,NA,NA,NA,NA,NA,NA,0.753125,NA,NA,NA,0.765625,NA,0.63953488372093,NA,NA,0.6125,0.478125,NA,NA,0.5,0.6125,0.53125,NA,0.596875,NA,0.63125,0.79375,NA,NA,0.44375,NA,NA,0.571875,0.5625,NA,NA,0.640625,NA,NA,NA,0.7,NA,NA,0.45625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.784375,NA,NA,1,0.471875,NA,NA,0.8,NA,0.603125,NA,NA,NA,NA,NA,NA,0.5625,NA,NA,NA,NA,0.7125,0.715625,0.546875,0.7375,NA,0.778125,NA,NA,0.69375,NA,0.553125,NA,NA,NA,NA,0.6875,0.74375,0.753125
"Murinbata",0.571875,0.728125,NA,0.615625,NA,0.696875,0.4125,NA,NA,0.55625,NA,NA,NA,NA,0.54375,0.578125,NA,NA,NA,NA,NA,NA,NA,NA,0.40625,NA,NA,NA,0.575,NA,0.534883720930233,NA,NA,0.6125,0.703125,NA,NA,0.39375,0.615625,0.590625,NA,0.596875,NA,0.621875,0.484375,NA,NA,0.678125,NA,NA,0.66875,0.609375,NA,NA,0.6125,NA,NA,NA,0.478125,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4625,NA,NA,0.471875,1,NA,NA,0.53125,NA,0.603125,NA,NA,NA,NA,NA,NA,0.50625,NA,NA,NA,NA,0.575,0.621875,0.60625,0.55625,NA,0.4625,NA,NA,0.640625,NA,0.715625,NA,NA,NA,NA,0.553125,0.534375,0.528125
"Nafaanra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,0.890625,NA,NA,NA,NA,NA
"N{‡}huatl",NA,NA,0.5625,NA,0.675,NA,NA,0.7,NA,NA,0.628125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634375,0.7375,NA,NA,NA,NA,NA,0.590625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60625,NA,0.640625,NA,NA,0.690625,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.740625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ocaina",0.48125,0.64375,NA,0.78125,NA,0.70625,0.575,NA,NA,0.7625,NA,NA,NA,NA,0.790625,0.78125,NA,NA,NA,NA,NA,NA,NA,NA,0.775,NA,NA,NA,0.878125,NA,0.736434108527132,NA,NA,0.7125,0.59375,NA,NA,0.528125,0.675,0.628125,NA,0.675,NA,0.659375,0.840625,NA,NA,0.540625,NA,NA,0.684375,0.734375,NA,NA,0.75625,NA,NA,NA,0.74375,NA,NA,0.528125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825,NA,NA,0.8,0.53125,NA,NA,1,NA,0.7875,NA,NA,NA,NA,NA,NA,0.559375,NA,NA,NA,NA,0.75,0.790625,0.646875,0.80625,NA,0.803125,NA,NA,0.796875,NA,0.640625,NA,NA,NA,NA,0.878125,0.834375,0.846875
"Papago",NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,0.559375,0.534375,NA,NA,NA,NA,NA,NA,0.553125,NA,0.621875,NA,NA,NA,NA,NA,NA,NA,0.60625,NA,NA,NA,NA,NA,NA,0.646875,NA,NA,NA,0.7125,NA,0.396875,NA,NA,NA,0.6,NA,0.64375,NA,NA,NA,NA,0.553125,NA,NA,NA,0.475,NA,NA,NA,NA,0.3625,0.503125,NA,NA,NA,NA,0.603125,NA,NA,NA,0.440625,NA,NA,NA,NA,NA,NA,1,NA,0.665625,0.503125,NA,0.715625,0.65625,0.56875,NA,0.596875,0.6125,0.70625,0.678125,NA,NA,NA,NA,0.4375,NA,0.734375,0.465625,NA,NA,NA,NA,NA,NA,0.5875,NA,NA,NA
"Patep",0.565625,0.709375,NA,0.778125,NA,0.7625,0.59375,NA,NA,0.703125,NA,NA,NA,NA,0.75,0.80625,NA,NA,NA,NA,NA,NA,NA,NA,0.61875,NA,NA,NA,0.75625,NA,0.573643410852713,NA,NA,0.828125,0.69375,NA,NA,0.53125,0.728125,0.790625,NA,0.725,NA,0.603125,0.71875,NA,NA,0.6375,NA,NA,0.815625,0.865625,NA,NA,0.853125,NA,NA,NA,0.61875,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,0.603125,0.603125,NA,NA,0.7875,NA,1,NA,NA,NA,NA,NA,NA,0.721875,NA,NA,NA,NA,0.7,0.753125,0.7625,0.73125,NA,0.60625,NA,NA,0.803125,NA,0.7375,NA,NA,NA,NA,0.8125,0.753125,0.765625
"Paya",NA,NA,NA,NA,NA,NA,NA,NA,0.721875,NA,NA,0.709375,0.684375,NA,NA,NA,NA,NA,NA,0.753125,NA,0.81875,NA,NA,NA,NA,NA,NA,NA,0.7625,NA,NA,NA,NA,NA,NA,0.75625,NA,NA,NA,0.80625,NA,0.5375,NA,NA,NA,0.765625,NA,0.74375,NA,NA,NA,NA,0.73125,NA,NA,NA,0.603125,NA,NA,NA,NA,0.565625,0.559375,NA,NA,NA,NA,0.75625,NA,NA,NA,0.48125,NA,NA,NA,NA,NA,NA,0.665625,NA,1,0.653125,NA,0.809375,0.709375,0.7625,NA,0.809375,0.853125,0.665625,0.771875,NA,NA,NA,NA,0.559375,NA,0.771875,0.61875,NA,NA,NA,NA,NA,NA,0.778125,NA,NA,NA
"Podopa",NA,NA,NA,NA,NA,NA,NA,NA,0.66875,NA,NA,0.709375,0.746875,NA,NA,NA,NA,NA,NA,0.60625,NA,0.659375,NA,NA,NA,NA,NA,NA,NA,0.69375,NA,NA,NA,NA,NA,NA,0.609375,NA,NA,NA,0.721875,NA,0.646875,NA,NA,NA,0.671875,NA,0.76875,NA,NA,NA,NA,0.7375,NA,NA,NA,0.65,NA,NA,NA,NA,0.71875,0.696875,NA,NA,NA,NA,0.73125,NA,NA,NA,0.56875,NA,NA,NA,NA,NA,NA,0.503125,NA,0.653125,1,NA,0.63125,0.56875,0.790625,NA,0.76875,0.725,0.525,0.659375,NA,NA,NA,NA,0.584375,NA,0.684375,0.684375,NA,NA,NA,NA,NA,NA,0.778125,NA,NA,NA
"Saramaccan",NA,NA,0.5625,NA,0.75625,NA,NA,0.653125,NA,NA,0.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7375,0.70625,NA,NA,NA,NA,NA,0.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.684375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.759375,NA,0.578125,NA,NA,0.609375,NA,NA,NA,NA,NA,NA,NA,0.740625,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seri",NA,NA,NA,NA,NA,NA,NA,NA,0.734375,NA,NA,0.709375,0.68125,NA,NA,NA,NA,NA,NA,0.75,NA,0.74375,NA,NA,NA,NA,NA,NA,NA,0.734375,NA,NA,NA,NA,NA,NA,0.7875,NA,NA,NA,0.853125,NA,0.54375,NA,NA,NA,0.696875,NA,0.778125,NA,NA,NA,NA,0.653125,NA,NA,NA,0.5625,NA,NA,NA,NA,0.565625,0.615625,NA,NA,NA,NA,0.775,NA,NA,NA,0.465625,NA,NA,NA,NA,NA,NA,0.715625,NA,0.809375,0.63125,NA,1,0.7,0.759375,NA,0.778125,0.790625,0.725,0.8125,NA,NA,NA,NA,0.5625,NA,0.8375,0.653125,NA,NA,NA,NA,NA,NA,0.728125,NA,NA,NA
"Shipibo",NA,NA,NA,NA,NA,NA,NA,NA,0.684375,NA,NA,0.628125,0.596875,NA,NA,NA,NA,NA,NA,0.646875,NA,0.703125,NA,NA,NA,NA,NA,NA,NA,0.68125,NA,NA,NA,NA,NA,NA,0.715625,NA,NA,NA,0.7125,NA,0.4625,NA,NA,NA,0.66875,NA,0.65,NA,NA,NA,NA,0.615625,NA,NA,NA,0.515625,NA,NA,NA,NA,0.478125,0.50625,NA,NA,NA,NA,0.690625,NA,NA,NA,0.403125,NA,NA,NA,NA,NA,NA,0.65625,NA,0.709375,0.56875,NA,0.7,1,0.665625,NA,0.728125,0.690625,0.653125,0.684375,NA,NA,NA,NA,0.5,NA,0.6875,0.5375,NA,NA,NA,NA,NA,NA,0.6625,NA,NA,NA
"Sirion{—}",NA,NA,NA,NA,NA,NA,NA,NA,0.746875,NA,NA,0.790625,0.79375,NA,NA,NA,NA,NA,NA,0.715625,NA,0.75625,NA,NA,NA,NA,NA,NA,NA,0.7875,NA,NA,NA,NA,NA,NA,0.7125,NA,NA,NA,0.815625,NA,0.7,NA,NA,NA,0.746875,NA,0.821875,NA,NA,NA,NA,0.775,NA,NA,NA,0.678125,NA,NA,NA,NA,0.721875,0.6,NA,NA,NA,NA,0.7875,NA,NA,NA,0.525,NA,NA,NA,NA,NA,NA,0.56875,NA,0.7625,0.790625,NA,0.759375,0.665625,1,NA,0.8625,0.85,0.59375,0.728125,NA,NA,NA,NA,0.575,NA,0.771875,0.625,NA,NA,NA,NA,NA,NA,0.86875,NA,NA,NA
"Slave",0.4875,0.571875,NA,0.60625,NA,0.578125,0.690625,NA,NA,0.525,NA,NA,NA,NA,0.521875,0.625,NA,NA,NA,NA,NA,NA,NA,NA,0.64375,NA,NA,NA,0.540625,NA,0.62015503875969,NA,NA,0.69375,0.603125,NA,NA,0.703125,0.6,0.76875,NA,0.634375,NA,0.475,0.590625,NA,NA,0.55,NA,NA,0.671875,0.7125,NA,NA,0.65625,NA,NA,NA,0.515625,NA,NA,0.503125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559375,NA,NA,0.5625,0.50625,NA,NA,0.559375,NA,0.721875,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.546875,0.546875,0.6875,0.58125,NA,0.56875,NA,NA,0.575,NA,0.659375,NA,NA,NA,NA,0.625,0.578125,0.584375
"Sursurunga",NA,NA,NA,NA,NA,NA,NA,NA,0.790625,NA,NA,0.8125,0.7875,NA,NA,NA,NA,NA,NA,0.703125,NA,0.815625,NA,NA,NA,NA,NA,NA,NA,0.790625,NA,NA,NA,NA,NA,NA,0.775,NA,NA,NA,0.834375,NA,0.6375,NA,NA,NA,0.778125,NA,0.853125,NA,NA,NA,NA,0.78125,NA,NA,NA,0.7,NA,NA,NA,NA,0.68125,0.5625,NA,NA,NA,NA,0.8375,NA,NA,NA,0.534375,NA,NA,NA,NA,NA,NA,0.596875,NA,0.809375,0.76875,NA,0.778125,0.728125,0.8625,NA,1,0.8625,0.671875,0.784375,NA,NA,NA,NA,0.53125,NA,0.7875,0.615625,NA,NA,NA,NA,NA,NA,0.853125,NA,NA,NA
"Tabla",NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,0.775,0.746875,NA,NA,NA,NA,NA,NA,0.734375,NA,0.815625,NA,NA,NA,NA,NA,NA,NA,0.79375,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,0.8125,NA,0.609375,NA,NA,NA,0.7625,NA,0.79375,NA,NA,NA,NA,0.771875,NA,NA,NA,0.65625,NA,NA,NA,NA,0.6375,0.546875,NA,NA,NA,NA,0.790625,NA,NA,NA,0.515625,NA,NA,NA,NA,NA,NA,0.6125,NA,0.853125,0.725,NA,0.790625,0.690625,0.85,NA,0.8625,1,0.640625,0.771875,NA,NA,NA,NA,0.55,NA,0.765625,0.609375,NA,NA,NA,NA,NA,NA,0.8375,NA,NA,NA
"Tacana",NA,NA,NA,NA,NA,NA,NA,NA,0.61875,NA,NA,0.6125,0.6125,NA,NA,NA,NA,NA,NA,0.60625,NA,0.6375,NA,NA,NA,NA,NA,NA,NA,0.640625,NA,NA,NA,NA,NA,NA,0.71875,NA,NA,NA,0.70625,NA,0.43125,NA,NA,NA,0.640625,NA,0.678125,NA,NA,NA,NA,0.578125,NA,NA,NA,0.53125,NA,NA,NA,NA,0.4875,0.5,NA,NA,NA,NA,0.68125,NA,NA,NA,0.453125,NA,NA,NA,NA,NA,NA,0.70625,NA,0.665625,0.525,NA,0.725,0.653125,0.59375,NA,0.671875,0.640625,1,0.69375,NA,NA,NA,NA,0.421875,NA,0.74375,0.509375,NA,NA,NA,NA,NA,NA,0.61875,NA,NA,NA
"Central Tarahumara",NA,NA,NA,NA,NA,NA,NA,NA,0.703125,NA,NA,0.71875,0.6875,NA,NA,NA,NA,NA,NA,0.7,NA,0.771875,NA,NA,NA,NA,NA,NA,NA,0.740625,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,0.8125,NA,0.575,NA,NA,NA,0.68125,NA,0.778125,NA,NA,NA,NA,0.653125,NA,NA,NA,0.575,NA,NA,NA,NA,0.571875,0.56875,NA,NA,NA,NA,0.78125,NA,NA,NA,0.503125,NA,NA,NA,NA,NA,NA,0.678125,NA,0.771875,0.659375,NA,0.8125,0.684375,0.728125,NA,0.784375,0.771875,0.69375,1,NA,NA,NA,NA,0.51875,NA,0.834375,0.6125,NA,NA,NA,NA,NA,NA,0.73125,NA,NA,NA
"W. Tarahumara",0.475,0.640625,NA,0.721875,NA,0.66875,0.525,NA,NA,0.775,NA,NA,NA,NA,0.7875,0.65,NA,NA,NA,NA,NA,NA,NA,NA,0.721875,NA,NA,NA,0.71875,NA,0.65891472868217,NA,NA,0.615625,0.625,NA,NA,0.434375,0.584375,0.646875,NA,0.696875,NA,0.690625,0.753125,NA,NA,0.559375,NA,NA,0.6125,0.640625,NA,NA,0.696875,NA,NA,NA,0.696875,NA,NA,0.534375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678125,NA,NA,0.7125,0.575,NA,NA,0.75,NA,0.7,NA,NA,NA,NA,NA,NA,0.546875,NA,NA,NA,NA,1,0.709375,0.65625,0.859375,NA,0.66875,NA,NA,0.74375,NA,0.69375,NA,NA,NA,NA,0.778125,0.78125,0.7
"Tboli",0.528125,0.69375,NA,0.740625,NA,0.75625,0.49375,NA,NA,0.765625,NA,NA,NA,NA,0.790625,0.765625,NA,NA,NA,NA,NA,NA,NA,NA,0.671875,NA,NA,NA,0.765625,NA,0.666666666666667,NA,NA,0.6875,0.625,NA,NA,0.446875,0.7,0.64375,NA,0.659375,NA,0.70625,0.6875,NA,NA,0.5125,NA,NA,0.728125,0.7375,NA,NA,0.765625,NA,NA,NA,0.690625,NA,NA,0.534375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709375,NA,NA,0.715625,0.621875,NA,NA,0.790625,NA,0.753125,NA,NA,NA,NA,NA,NA,0.546875,NA,NA,NA,NA,0.709375,1,0.61875,0.740625,NA,0.690625,NA,NA,0.803125,NA,0.70625,NA,NA,NA,NA,0.759375,0.70625,0.76875
"Teribe",0.55625,0.646875,NA,0.71875,NA,0.684375,0.621875,NA,NA,0.71875,NA,NA,NA,NA,0.671875,0.74375,NA,NA,NA,NA,NA,NA,NA,NA,0.571875,NA,NA,NA,0.628125,NA,0.662790697674419,NA,NA,0.80625,0.703125,NA,NA,0.540625,0.7375,0.815625,NA,0.8125,NA,0.584375,0.55625,NA,NA,0.64375,NA,NA,0.7875,0.7875,NA,NA,0.790625,NA,NA,NA,0.640625,NA,NA,0.571875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571875,NA,NA,0.546875,0.60625,NA,NA,0.646875,NA,0.7625,NA,NA,NA,NA,NA,NA,0.6875,NA,NA,NA,NA,0.65625,0.61875,1,0.68125,NA,0.55625,NA,NA,0.625,NA,0.69375,NA,NA,NA,NA,0.621875,0.60625,0.64375
"Ticuna",0.490625,0.665625,NA,0.7625,NA,0.69375,0.55,NA,NA,0.815625,NA,NA,NA,NA,0.796875,0.68125,NA,NA,NA,NA,NA,NA,NA,NA,0.78125,NA,NA,NA,0.753125,NA,0.709302325581395,NA,NA,0.64375,0.59375,NA,NA,0.45625,0.625,0.66875,NA,0.68125,NA,0.671875,0.7875,NA,NA,0.6125,NA,NA,0.653125,0.696875,NA,NA,0.728125,NA,NA,NA,0.75,NA,NA,0.58125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734375,NA,NA,0.7375,0.55625,NA,NA,0.80625,NA,0.73125,NA,NA,NA,NA,NA,NA,0.58125,NA,NA,NA,NA,0.859375,0.740625,0.68125,1,NA,0.725,NA,NA,0.759375,NA,0.709375,NA,NA,NA,NA,0.825,0.765625,0.728125
"Tifal",NA,NA,NA,NA,NA,NA,NA,NA,0.48125,NA,NA,0.515625,0.609375,NA,NA,NA,NA,NA,NA,0.509375,NA,0.58125,NA,NA,NA,NA,NA,NA,NA,0.578125,NA,NA,NA,NA,NA,NA,0.55625,NA,NA,NA,0.55,NA,0.496875,NA,NA,NA,0.55,NA,0.590625,NA,NA,NA,NA,0.571875,NA,NA,NA,0.590625,NA,NA,NA,NA,0.55625,0.66875,NA,NA,NA,NA,0.515625,NA,NA,NA,0.640625,NA,NA,NA,NA,NA,NA,0.4375,NA,0.559375,0.584375,NA,0.5625,0.5,0.575,NA,0.53125,0.55,0.421875,0.51875,NA,NA,NA,NA,1,NA,0.546875,0.653125,NA,NA,NA,NA,NA,NA,0.540625,NA,NA,NA
"Tlapaneco",0.465625,0.528125,NA,0.734375,NA,0.55625,0.515625,NA,NA,0.671875,NA,NA,NA,NA,0.715625,0.725,NA,NA,NA,NA,NA,NA,NA,NA,0.703125,NA,NA,NA,0.775,NA,0.65891472868217,NA,NA,0.7,0.5125,NA,NA,0.54375,0.590625,0.553125,NA,0.55625,NA,0.55625,0.803125,NA,NA,0.4625,NA,NA,0.559375,0.628125,NA,NA,0.684375,NA,NA,NA,0.68125,NA,NA,0.49375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.853125,NA,NA,0.778125,0.4625,NA,NA,0.803125,NA,0.60625,NA,NA,NA,NA,NA,NA,0.56875,NA,NA,NA,NA,0.66875,0.690625,0.55625,0.725,NA,1,NA,NA,0.7,NA,0.596875,NA,NA,NA,NA,0.75,0.728125,0.7875
