"L","a","b"
40.5,-140,40
40.5,-20,0
40.5,20,0
40.5,-20,20
40.5,-20,-20
40.5,20,20
40.5,20,-20
40.5,-20,40
40.5,-20,-40
40.5,20,40
40.5,20,-40
40.5,-20,60
40.5,-20,-60
40.5,20,60
40.5,20,-60
40.5,20,-80
40.5,-40,0
40.5,40,0
40.5,-40,20
40.5,-40,-20
40.5,40,20
40.5,40,-20
40.5,-40,40
40.5,-40,-40
40.5,40,40
40.5,40,-40
40.5,-40,60
40.5,40,60
40.5,40,-60
40.5,40,-80
40.5,-60,0
40.5,60,0
40.5,60,-100
40.5,-60,20
40.5,-60,-20
40.5,60,20
40.5,60,-20
40.5,-60,40
40.5,-60,-40
40.5,60,40
40.5,60,-40
40.5,-60,60
40.5,60,60
40.5,60,-60
40.5,60,-80
40.5,-80,0
40.5,80,0
40.5,-80,20
40.5,-80,-20
40.5,80,20
40.5,80,-20
40.5,-80,40
40.5,80,40
40.5,80,-40
40.5,-80,60
40.5,80,60
40.5,80,-60
40.5,80,-80
45.5,0,0
45.5,0,20
45.5,0,-20
45.5,0,40
45.5,0,-40
45.5,0,60
45.5,0,-60
45.5,0,-80
45.5,-100,0
45.5,-100,20
45.5,-100,-20
45.5,100,-20
45.5,-100,40
45.5,100,-40
45.5,-100,60
45.5,100,-60
45.5,100,-80
45.5,-120,0
45.5,-120,20
45.5,-120,40
45.5,-120,60
45.5,120,-80
45.5,-140,0
45.5,-140,20
45.5,-140,40
45.5,-160,20
45.5,-20,0
45.5,20,0
45.5,-20,20
45.5,-20,-20
45.5,20,20
45.5,20,-20
45.5,-20,40
45.5,-20,-40
45.5,20,40
45.5,20,-40
45.5,-20,60
45.5,-20,-60
45.5,20,60
45.5,20,-60
45.5,20,-80
45.5,-40,0
45.5,40,0
45.5,-40,20
45.5,-40,-20
45.5,40,20
45.5,40,-20
45.5,-40,40
45.5,-40,-40
45.5,40,40
45.5,40,-40
45.5,-40,60
45.5,40,60
45.5,40,-60
45.5,40,-80
45.5,-60,0
45.5,60,0
45.5,-60,20
45.5,-60,-20
45.5,60,20
45.5,60,-20
45.5,-60,40
45.5,-60,-40
45.5,60,40
45.5,60,-40
45.5,-60,60
45.5,60,60
45.5,60,-60
45.5,60,-80
45.5,-80,0
45.5,80,0
45.5,-80,20
45.5,-80,-20
45.5,80,20
45.5,80,-20
45.5,-80,40
45.5,80,40
45.5,80,-40
45.5,-80,60
45.5,80,60
45.5,80,-60
45.5,80,-80
50.5,0,0
50.5,0,20
50.5,0,-20
50.5,0,40
50.5,0,-40
50.5,0,60
50.5,0,-60
50.5,0,80
50.5,0,-80
50.5,-100,0
50.5,-100,20
50.5,-100,-20
50.5,100,-20
50.5,-100,40
50.5,100,-40
50.5,-100,60
50.5,100,-60
50.5,100,-80
50.5,-120,0
50.5,-120,20
50.5,-120,40
50.5,-120,60
50.5,-140,0
50.5,-140,20
50.5,-140,40
50.5,-140,60
50.5,-160,20
50.5,-160,40
50.5,-20,0
50.5,20,0
50.5,-20,20
50.5,-20,-20
50.5,20,20
50.5,20,-20
50.5,-20,40
50.5,-20,-40
50.5,20,40
50.5,20,-40
50.5,-20,60
50.5,-20,-60
50.5,20,60
50.5,20,-60
50.5,-20,80
50.5,20,80
50.5,20,-80
50.5,-40,0
50.5,40,0
50.5,-40,20
50.5,-40,-20
50.5,40,20
50.5,40,-20
50.5,-40,40
50.5,-40,-40
50.5,40,40
50.5,40,-40
50.5,-40,60
50.5,-40,-60
50.5,40,60
50.5,40,-60
50.5,-40,80
50.5,40,80
50.5,40,-80
50.5,-60,0
50.5,60,0
50.5,-60,20
50.5,-60,-20
50.5,60,20
50.5,60,-20
50.5,-60,40
50.5,-60,-40
50.5,60,40
50.5,60,-40
50.5,-60,60
50.5,60,60
50.5,60,-60
50.5,-60,80
50.5,60,80
50.5,60,-80
50.5,-80,0
50.5,80,0
50.5,-80,20
50.5,-80,-20
50.5,80,20
50.5,80,-20
50.5,-80,40
50.5,80,40
50.5,80,-40
50.5,-80,60
50.5,80,60
50.5,80,-60
50.5,-80,80
50.5,80,80
50.5,80,-80
55.5,0,0
55.5,0,20
55.5,0,-20
55.5,0,40
55.5,0,-40
55.5,0,60
55.5,0,-60
55.5,0,80
55.5,-100,0
55.5,-100,20
55.5,-100,-20
55.5,100,-20
55.5,-100,40
55.5,100,-40
55.5,-100,60
55.5,100,-60
55.5,-100,80
55.5,-120,0
55.5,-120,20
55.5,-120,40
55.5,-120,60
55.5,-140,20
55.5,-140,40
55.5,-140,60
55.5,-160,20
55.5,-160,40
55.5,-20,0
55.5,20,0
55.5,-20,20
55.5,-20,-20
55.5,20,20
55.5,20,-20
55.5,-20,40
55.5,-20,-40
55.5,20,40
55.5,20,-40
55.5,-20,60
55.5,-20,-60
55.5,20,60
55.5,20,-60
55.5,-20,80
55.5,20,80
55.5,-40,0
55.5,40,0
55.5,-40,20
55.5,-40,-20
55.5,40,20
55.5,40,-20
55.5,-40,40
55.5,-40,-40
55.5,40,40
55.5,40,-40
55.5,-40,60
55.5,-40,-60
55.5,40,60
55.5,40,-60
55.5,-40,80
55.5,40,80
55.5,-60,0
55.5,60,0
55.5,-60,20
55.5,-60,-20
55.5,60,20
55.5,60,-20
55.5,-60,40
55.5,-60,-40
55.5,60,40
55.5,60,-40
55.5,-60,60
55.5,60,60
55.5,60,-60
55.5,-60,80
55.5,60,80
55.5,-80,0
55.5,80,0
55.5,-80,20
55.5,-80,-20
55.5,80,20
55.5,80,-20
55.5,-80,40
55.5,80,40
55.5,80,-40
55.5,-80,60
55.5,80,60
55.5,80,-60
55.5,-80,80
55.5,80,80
60.5,0,0
60.5,0,100
60.5,0,20
60.5,0,-20
60.5,0,40
60.5,0,-40
60.5,0,60
60.5,0,-60
60.5,0,80
60.5,-100,0
60.5,-100,20
60.5,-100,-20
60.5,-100,40
60.5,100,-40
60.5,-100,60
60.5,100,-60
60.5,-100,80
60.5,-120,0
60.5,-120,20
60.5,-120,40
60.5,-120,60
60.5,-120,80
60.5,-140,20
60.5,-140,40
60.5,-140,60
60.5,-160,40
60.5,-20,0
60.5,20,0
60.5,-20,100
60.5,20,100
60.5,-20,20
60.5,-20,-20
60.5,20,20
60.5,20,-20
60.5,-20,40
60.5,-20,-40
60.5,20,40
60.5,20,-40
60.5,-20,60
60.5,-20,-60
60.5,20,60
60.5,20,-60
60.5,-20,80
60.5,20,80
60.5,-40,0
60.5,40,0
60.5,-40,100
60.5,40,100
60.5,-40,20
60.5,-40,-20
60.5,40,20
60.5,40,-20
60.5,-40,40
60.5,-40,-40
60.5,40,40
60.5,40,-40
60.5,-40,60
60.5,-40,-60
60.5,40,60
60.5,40,-60
60.5,-40,80
60.5,40,80
60.5,-60,0
60.5,60,0
60.5,-60,100
60.5,60,100
60.5,-60,20
60.5,-60,-20
60.5,60,20
60.5,60,-20
60.5,-60,40
60.5,-60,-40
60.5,60,40
60.5,60,-40
60.5,-60,60
60.5,60,60
60.5,60,-60
60.5,-60,80
60.5,60,80
60.5,-80,0
60.5,80,0
60.5,-80,20
60.5,-80,-20
60.5,80,20
60.5,80,-20
60.5,-80,40
60.5,80,40
60.5,80,-40
60.5,-80,60
60.5,80,-60
60.5,-80,80
65.5,0,0
65.5,0,100
65.5,0,20
65.5,0,-20
65.5,0,40
65.5,0,-40
65.5,0,60
65.5,0,80
65.5,-100,0
65.5,-100,100
65.5,-100,20
65.5,-100,-20
65.5,-100,40
65.5,100,-40
65.5,-100,60
65.5,-100,80
65.5,-120,0
65.5,-120,20
65.5,-120,40
65.5,-120,60
65.5,-120,80
65.5,-140,20
65.5,-140,40
65.5,-140,60
65.5,-20,0
65.5,20,0
65.5,-20,100
65.5,20,100
65.5,-20,20
65.5,-20,-20
65.5,20,20
65.5,20,-20
65.5,-20,40
65.5,-20,-40
65.5,20,40
65.5,20,-40
65.5,-20,60
65.5,20,60
65.5,-20,80
65.5,20,80
65.5,-40,0
65.5,40,0
65.5,-40,100
65.5,40,100
65.5,-40,20
65.5,-40,-20
65.5,40,20
65.5,40,-20
65.5,-40,40
65.5,-40,-40
65.5,40,40
65.5,40,-40
65.5,-40,60
65.5,40,60
65.5,-40,80
65.5,40,80
65.5,-60,0
65.5,60,0
65.5,-60,100
65.5,60,100
65.5,-60,20
65.5,-60,-20
65.5,60,20
65.5,60,-20
65.5,-60,40
65.5,-60,-40
65.5,60,40
65.5,60,-40
65.5,-60,60
65.5,60,60
65.5,-60,80
65.5,60,80
65.5,-80,0
65.5,80,0
65.5,-80,100
65.5,-80,20
65.5,-80,-20
65.5,80,20
65.5,80,-20
65.5,-80,40
65.5,80,-40
65.5,-80,60
65.5,-80,80
70.5,0,0
70.5,0,100
70.5,0,20
70.5,0,-20
70.5,0,40
70.5,0,-40
70.5,0,60
70.5,0,80
70.5,-100,0
70.5,-100,100
70.5,-100,20
70.5,-100,-20
70.5,-100,40
70.5,-100,60
70.5,-100,80
70.5,-120,0
70.5,-120,20
70.5,-120,40
70.5,-120,60
70.5,-120,80
70.5,-140,20
70.5,-140,40
70.5,-140,60
70.5,-140,80
70.5,-20,0
70.5,20,0
70.5,-20,100
70.5,20,100
70.5,-20,20
70.5,-20,-20
70.5,20,20
70.5,20,-20
70.5,-20,40
70.5,-20,-40
70.5,20,40
70.5,20,-40
70.5,-20,60
70.5,20,60
70.5,-20,80
70.5,20,80
70.5,-40,0
70.5,40,0
70.5,-40,100
70.5,40,100
70.5,40,120
70.5,-40,20
70.5,-40,-20
70.5,40,20
70.5,40,-20
70.5,-40,40
70.5,-40,-40
70.5,40,40
70.5,40,-40
70.5,-40,60
70.5,40,60
70.5,-40,80
70.5,40,80
70.5,-60,0
70.5,60,0
70.5,-60,100
70.5,60,100
70.5,60,120
70.5,-60,20
70.5,-60,-20
70.5,60,20
70.5,60,-20
70.5,-60,40
70.5,-60,-40
70.5,60,40
70.5,60,-40
70.5,-60,60
70.5,60,60
70.5,-60,80
70.5,60,80
70.5,-80,0
70.5,-80,100
