"L","a","b"
0,0,0
11.1111111111113,0,0
13.4563986361036,17.1010071662834,0
13.4563986361036,16.8904653905721,2.6751869077067
13.4563986361036,16.264024300704,5.28450183530935
13.4563986361036,15.2371089553506,7.7636947894706
13.4563986361036,13.8350054184511,10.0517198116893
13.4563986361036,12.0922381323987,12.0922381323987
13.4563986361036,10.0517198116893,13.8350054184511
13.4563986361036,7.7636947894706,15.2371089553506
13.4563986361036,5.28450183530935,16.264024300704
13.4563986361036,2.6751869077067,16.8904653905721
13.4563986361036,1.04713468441925e-15,17.1010071662834
13.4563986361036,-2.6751869077067,16.8904653905721
13.4563986361036,-5.28450183530935,16.264024300704
13.4563986361036,-7.7636947894706,15.2371089553506
13.4563986361036,-10.0517198116893,13.8350054184511
13.4563986361036,-12.0922381323987,12.0922381323987
13.4563986361036,-13.8350054184511,10.0517198116893
13.4563986361036,-15.2371089553506,7.7636947894706
13.4563986361036,-16.264024300704,5.28450183530935
13.4563986361036,-16.8904653905721,2.6751869077067
13.4563986361036,-17.1010071662834,2.0942693688385e-15
13.4563986361036,-16.8904653905721,-2.6751869077067
13.4563986361036,-16.264024300704,-5.28450183530935
13.4563986361036,-15.2371089553506,-7.7636947894706
13.4563986361036,-13.8350054184511,-10.0517198116893
13.4563986361036,-12.0922381323987,-12.0922381323987
13.4563986361036,-10.0517198116893,-13.8350054184511
13.4563986361036,-7.7636947894706,-15.2371089553506
13.4563986361036,-5.28450183530935,-16.264024300704
13.4563986361036,-2.6751869077067,-16.8904653905721
13.4563986361036,-3.14140405325774e-15,-17.1010071662834
13.4563986361036,2.6751869077067,-16.8904653905721
13.4563986361036,5.28450183530935,-16.264024300704
13.4563986361036,7.7636947894706,-15.2371089553506
13.4563986361036,10.0517198116893,-13.8350054184511
13.4563986361036,12.0922381323987,-12.0922381323987
13.4563986361036,13.8350054184511,-10.0517198116893
13.4563986361036,15.2371089553506,-7.7636947894706
13.4563986361036,16.264024300704,-5.28450183530935
13.4563986361036,16.8904653905721,-2.67518690770671
22.2222222222222,0,0
20.2093833231509,32.1393804843269,0
20.2093833231509,31.7436913783207,5.02770679279015
20.2093833231509,30.5663672393084,9.93161475833955
20.2093833231509,28.6363976949077,14.590973407399
20.2093833231509,26.001305000503,18.8910538665039
20.2093833231509,22.7259738836022,22.7259738836022
20.2093833231509,18.8910538665039,26.001305000503
20.2093833231509,14.590973407399,28.6363976949077
20.2093833231509,9.93161475833955,30.5663672393084
20.2093833231509,5.02770679279015,31.7436913783207
20.2093833231509,1.9679694718355e-15,32.1393804843269
20.2093833231509,-5.0277067927901,31.7436913783207
20.2093833231509,-9.93161475833955,30.5663672393084
20.2093833231509,-14.590973407399,28.6363976949077
20.2093833231509,-18.8910538665039,26.001305000503
20.2093833231509,-22.7259738836022,22.7259738836022
20.2093833231509,-26.001305000503,18.8910538665039
20.2093833231509,-28.6363976949077,14.590973407399
20.2093833231509,-30.5663672393084,9.93161475833955
20.2093833231509,-31.7436913783207,5.02770679279015
20.2093833231509,-32.1393804843269,3.93593894367099e-15
20.2093833231509,-31.7436913783207,-5.0277067927901
20.2093833231509,-30.5663672393084,-9.93161475833955
20.2093833231509,-28.6363976949077,-14.590973407399
20.2093833231509,-26.001305000503,-18.8910538665039
20.2093833231509,-22.7259738836022,-22.7259738836022
20.2093833231509,-18.8910538665039,-26.001305000503
20.2093833231509,-14.590973407399,-28.6363976949077
20.2093833231509,-9.93161475833955,-30.5663672393084
20.2093833231509,-5.02770679279015,-31.7436913783207
20.2093833231509,-5.9039084155065e-15,-32.1393804843269
20.2093833231509,5.0277067927901,-31.7436913783207
20.2093833231509,9.93161475833955,-30.5663672393084
20.2093833231509,14.590973407399,-28.6363976949077
20.2093833231509,18.8910538665039,-26.001305000503
20.2093833231509,22.7259738836022,-22.7259738836022
20.2093833231509,26.001305000503,-18.8910538665039
20.2093833231509,28.6363976949077,-14.590973407399
20.2093833231509,30.5663672393084,-9.93161475833955
20.2093833231509,31.7436913783207,-5.02770679279015
33.3333333333333,0,0
30.5555561111111,43.301270189222,0
30.5555561111111,42.7681596988543,6.77381103761345
30.5555561111111,41.1819551773166,13.3808283664908
30.5555561111111,38.58171424424,19.658365292562
30.5555561111111,35.0314634611019,25.4518480227564
30.5555561111111,30.6186217847897,30.6186217847897
30.5555561111111,25.4518480227564,35.0314634611019
30.5555561111111,19.658365292562,38.58171424424
30.5555561111111,13.3808283664909,41.1819551773166
30.5555561111111,6.77381103761345,42.7681596988543
30.5555561111111,2.65143809681227e-15,43.301270189222
30.5555561111111,-6.77381103761345,42.7681596988543
30.5555561111111,-13.3808283664908,41.1819551773166
30.5555561111111,-19.658365292562,38.58171424424
30.5555561111111,-25.4518480227564,35.0314634611019
30.5555561111111,-30.6186217847897,30.6186217847897
30.5555561111111,-35.0314634611019,25.4518480227564
30.5555561111111,-38.58171424424,19.658365292562
30.5555561111111,-41.1819551773166,13.3808283664909
30.5555561111111,-42.7681596988543,6.77381103761345
30.5555561111111,-43.301270189222,5.30287619362455e-15
30.5555561111111,-42.7681596988543,-6.7738110376134
30.5555561111111,-41.1819551773166,-13.3808283664908
30.5555561111111,-38.58171424424,-19.658365292562
30.5555561111111,-35.0314634611019,-25.4518480227564
30.5555561111111,-30.6186217847897,-30.6186217847897
30.5555561111111,-25.4518480227564,-35.0314634611019
30.5555561111111,-19.658365292562,-38.58171424424
30.5555561111111,-13.3808283664909,-41.1819551773166
30.5555561111111,-6.77381103761345,-42.7681596988543
30.5555561111111,-7.9543142904368e-15,-43.301270189222
30.5555561111111,6.7738110376134,-42.7681596988543
30.5555561111111,13.3808283664908,-41.1819551773166
30.5555561111111,19.658365292562,-38.58171424424
30.5555561111111,25.4518480227564,-35.0314634611019
30.5555561111111,30.6186217847897,-30.6186217847897
30.5555561111111,35.0314634611019,-25.4518480227564
30.5555561111111,38.58171424424,-19.658365292562
30.5555561111111,41.1819551773166,-13.3808283664909
30.5555561111111,42.7681596988543,-6.77381103761345
44.4444444444445,0,0
43.2470158685083,49.2403876506104,0
43.2470158685083,48.6341567688927,7.70289370049685
43.2470158685083,46.8303915400124,15.2161165936489
43.2470158685083,43.8735066502582,22.3546681968696
43.2470158685083,39.8363104189541,28.9427736781932
