"L","a","b","prior.uniform","prior.distance.from.munsel.center"
5.5,0,0,0.000219635405227323,0.000272108288662709
5.5,0,-10,0.000219635405227323,0.000269321091819269
5.5,0,-20,0.000219635405227323,0.000263082672807761
5.5,0,-30,0.000219635405227323,0.000253942246026285
5.5,-10,0,0.000219635405227323,0.000270249041257671
5.5,10,0,0.000219635405227323,0.000270219333713172
5.5,100,-80,0.000219635405227323,0.000101310896528085
5.5,100,-90,0.000219635405227323,8.94160941447905e-05
5.5,-10,-10,0.000219635405227323,0.000267511774880093
5.5,10,-10,0.000219635405227323,0.000267482850812874
5.5,-10,-20,0.000219635405227323,0.000261376015797399
5.5,10,-20,0.000219635405227323,0.000261348706204461
5.5,10,-30,0.000219635405227323,0.000252341468128113
5.5,110,-90,0.000219635405227323,7.57640288761347e-05
5.5,120,-100,0.000219635405227323,4.9912808017753e-05
5.5,-20,0,0.000219635405227323,0.00026483783554756
5.5,20,0,0.000219635405227323,0.000264781447792476
5.5,-20,-10,0.000219635405227323,0.000262236328155832
5.5,20,-10,0.000219635405227323,0.000262181285070913
5.5,20,-20,0.000219635405227323,0.000256329720443275
5.5,20,-30,0.000219635405227323,0.000247687740527981
5.5,20,-40,0.000219635405227323,0.000236792225524758
5.5,30,0,0.000219635405227323,0.000256297082730244
5.5,30,-10,0.000219635405227323,0.000253884699501138
5.5,30,-20,0.000219635405227323,0.000248427697792007
5.5,30,-30,0.000219635405227323,0.000240306107131202
5.5,30,-40,0.000219635405227323,0.000229978664396112
5.5,30,-50,0.000219635405227323,0.000217890292580246
5.5,40,-10,0.000219635405227323,0.00024317371252745
5.5,40,-20,0.000219635405227323,0.000238155072749738
5.5,40,-30,0.000219635405227323,0.000230625421969885
5.5,40,-40,0.000219635405227323,0.000220961645350677
5.5,40,-50,0.000219635405227323,0.000209545856695681
5.5,50,-30,0.000219635405227323,0.000219083779564478
5.5,50,-40,0.000219635405227323,0.000210110594868986
5.5,50,-50,0.000219635405227323,0.00019941408621443
5.5,50,-60,0.000219635405227323,0.000187294590874253
5.5,60,-40,0.000219635405227323,0.000197769277598035
5.5,60,-50,0.000219635405227323,0.00018779082925152
5.5,60,-60,0.000219635405227323,0.000176392842892731
5.5,70,-50,0.000219635405227323,0.000174940804371119
5.5,70,-60,0.000219635405227323,0.000164249089377634
5.5,70,-70,0.000219635405227323,0.000152362352895644
5.5,80,-60,0.000219635405227323,0.000151068715767287
5.5,80,-70,0.000219635405227323,0.000139858007997957
5.5,80,-80,0.000219635405227323,0.000127621048355426
5.5,90,-70,0.000219635405227323,0.000126458113001059
5.5,90,-80,0.000219635405227323,0.000114859849396749
10.5,0,0,0.000219635405227323,0.0002817808465312
